annotation_id,annotator,created_at,id,image,lead_time,truck_label,updated_at
22,1,2025-01-26T10:09:47.172975Z,14420,/data/upload/2/02c23e14-img_80.jpg,2.407,No Truck,2025-01-26T10:09:47.172987Z
21,1,2025-01-26T10:04:42.563151Z,14421,/data/upload/2/55ecfb81-img_81.jpg,242.824,No Truck,2025-01-26T10:04:42.563164Z
23,1,2025-01-26T10:02:03.195064Z,14422,/data/upload/2/51bc951f-img_82.jpg,8.354,No Truck,2025-01-26T10:02:03.195082Z
24,1,2025-01-26T10:12:16.605710Z,14423,/data/upload/2/50456269-img_83.jpg,11.757,Truck,2025-01-26T10:12:16.605725Z
25,1,2025-01-26T10:02:36.707514Z,14424,/data/upload/2/7558939b-img_84.jpg,18.699,Truck,2025-01-26T10:02:36.707527Z
26,1,2025-01-26T10:01:42.583839Z,14425,/data/upload/2/e53704cd-img_85.jpg,4.367,No Truck,2025-01-26T10:01:42.583848Z
27,1,2025-01-26T10:12:50.093477Z,14426,/data/upload/2/29fb392c-img_86.jpg,6.159,Truck,2025-01-26T10:12:50.093489Z
28,1,2025-01-26T10:12:55.627115Z,14427,/data/upload/2/1a3b5c4c-img_87.jpg,4.204,No Truck,2025-01-26T10:12:55.627132Z
29,1,2025-01-26T10:13:04.607169Z,14428,/data/upload/2/2e88d361-img_88.jpg,7.709,No Truck,2025-01-26T10:13:04.607182Z
30,1,2025-01-26T10:13:38.175025Z,14429,/data/upload/2/ff298fa9-img_89.jpg,32.326,No Truck,2025-01-26T10:13:38.175044Z
31,1,2025-01-26T10:13:44.813547Z,14430,/data/upload/2/3f543145-img_90.jpg,5.3,Truck,2025-01-26T10:13:44.813559Z
32,1,2025-01-26T10:05:35.845414Z,14431,/data/upload/2/649c217b-img_91.jpg,9.466,No Truck,2025-01-26T10:05:35.845432Z
33,1,2025-01-26T10:05:47.333646Z,14432,/data/upload/2/a9d59f39-img_92.jpg,8.581,No Truck,2025-01-26T10:05:47.333656Z
34,1,2025-01-26T10:15:54.251048Z,14433,/data/upload/2/0a1bc69f-img_93.jpg,5.313,Truck,2025-01-26T10:15:54.251068Z
35,1,2025-01-26T10:05:01.882514Z,14434,/data/upload/2/69e6c068-img_94.jpg,5.677,No Truck,2025-01-26T10:05:01.882528Z
36,1,2025-01-26T10:06:05.426286Z,14435,/data/upload/2/fe7cc113-img_95.jpg,2.34,No Truck,2025-01-26T10:06:05.426302Z
37,1,2025-01-26T10:12:40.560181Z,14436,/data/upload/2/8342f47b-img_96.jpg,33.543,No Truck,2025-01-26T10:12:40.560199Z
38,1,2025-01-26T10:13:47.447681Z,14437,/data/upload/2/74f47c93-img_97.jpg,5.509,Truck,2025-01-26T10:13:47.447692Z
39,1,2025-01-26T10:06:59.720417Z,14438,/data/upload/2/ca4b6416-img_98.jpg,8.443,No Truck,2025-01-26T10:06:59.720428Z
40,1,2025-01-26T10:16:08.429933Z,14439,/data/upload/2/033be58a-img_99.jpg,3.396,No Truck,2025-01-26T10:16:08.429946Z
